hop,ips,cant_ips,time,min_times,max_times,zrtt,distinguido,pais,ciudad,lat lng
1,[10.16.128.1],1,80.7704,65.0380,99.5119,-1.0748,0,(Private Address),(Private Address),0.0000 0.0000
2,[181.47.254.105],1,88.6743,67.8170,115.0551,-0.9728,0,(Unknown Country?),(Unknown City?),0.0000 0.0000
3,[208.178.195.210],1,65.6278,44.1020,91.7060,-1.2702,0,UNITED STATES,(Unknown city),0.0000 0.0000
4,[208.178.195.209],1,68.7273,52.4640,86.3101,-1.2302,0,UNITED STATES,(Unknown city),0.0000 0.0000
5,[67.16.148.102],1,184.6572,173.2168,203.5930,0.2658,0,UNITED STATES,(Unknown city),0.0000 0.0000
6,[4.68.111.121],1,191.6771,177.7992,199.9230,0.3564,0,UNITED STATES,New York NY,40.6698 -73.9438
7,[4.69.138.123],1,227.5330,219.5759,235.6212,0.8191,1,UNITED STATES,(Unknown city),0.0000 0.0000
8,[],0,0.0000,0.0000,0.0000,-2.1171,0,S/D,S/D,0.0000 0.0000
9,[4.69.134.21],1,212.4593,204.0548,218.9591,0.6246,1,UNITED STATES,Washington DC,38.9050 -77.0162
10,[4.69.151.169],1,217.6504,207.7041,225.4231,0.6916,1,UNITED STATES,(Unknown city),0.0000 0.0000
11,[4.69.146.30],1,114.9640,0.0000,232.0299,-0.6335,0,UNITED STATES,(Unknown city),0.0000 0.0000
12,[4.34.191.254],1,245.7626,238.0672,253.0251,1.0544,1,UNITED STATES,(Unknown city),0.0000 0.0000
13,[184.168.0.73],1,229.7267,215.9879,239.6519,0.8474,1,(Unknown Country?),(Unknown City?),0.0000 0.0000
14,[184.168.0.73],1,232.4590,218.9171,243.6490,0.8827,1,(Unknown Country?),(Unknown City?),0.0000 0.0000
15,[97.74.255.129],1,232.6337,223.6130,239.9869,0.8849,1,UNITED STATES,Scottsdale AZ,33.6860 -111.8700
16,[23.229.137.67],1,231.5962,224.0238,239.1169,0.8715,1,(Unknown Country?),(Unknown City?),0.0000 0.0000
