hop,ips,cant_ips,time,min_times,max_times,zrtt,distinguido,pais,ciudad,lat lng
1,[10.16.128.1],1,111.7328,99.2758,124.8982,-1.3050,0,(Private Address),(Private Address),0.0000 0.0000
2,[181.47.254.105],1,84.3990,71.3141,103.4410,-1.5693,0,(Unknown Country?),(Unknown City?),0.0000 0.0000
3,[208.178.195.210],1,84.9953,67.3242,103.5941,-1.5635,0,UNITED STATES,(Unknown city),0.0000 0.0000
4,[208.178.195.209],1,89.9656,65.2142,113.9431,-1.5155,0,UNITED STATES,(Unknown city),0.0000 0.0000
5,[67.16.133.22;67.16.146.113],2,296.6592,287.2169,302.2130,0.4834,0,UNITED STATES,(Unknown city),0.0000 0.0000
6,[67.17.74.46],1,295.6434,284.7199,299.6418,0.4736,0,UNITED STATES,Warsaw,52.2333 21.0000
7,[146.82.54.2],1,298.5045,283.6702,315.5029,0.5012,1,UNITED STATES,(Unknown city),0.0000 0.0000
8,[194.85.40.133],1,320.6630,307.7841,331.1169,0.7155,1,RUSSIAN FEDERATION,(Unknown city),0.0000 0.0000
9,[194.190.254.118],1,323.6240,318.1870,327.8539,0.7442,1,RUSSIAN FEDERATION,(Unknown city),0.0000 0.0000
10,[93.180.0.174],1,321.2335,311.4371,331.4118,0.7210,1,RUSSIAN FEDERATION,Moscow,55.7500 37.6000
11,[188.44.33.41],1,324.1495,315.7039,334.7931,0.7492,1,(Unknown Country?),(Unknown City?),0.0000 0.0000
12,[188.44.33.22],1,319.5892,306.7601,332.4928,0.7051,1,(Unknown Country?),(Unknown City?),0.0000 0.0000
13,[93.180.0.18],1,335.5967,324.1270,343.6658,0.8600,1,RUSSIAN FEDERATION,Moscow,55.7500 37.6000
