hop,ips,cant_ips,time,min_times,max_times,zrtt,distinguido,pais,ciudad,lat lng
1,[190.16.130.1],1,148.3452,67.9440,278.4400,-0.4490,0, Argentina ,,-34.0000 -64.0000
2,[],0,0.0000,0.0000,0.0000,-0.9078,0,S/D,S/D,0.0000 0.0000
3,[],0,0.0000,0.0000,0.0000,-0.9078,0,S/D,S/D,0.0000 0.0000
4,[],0,0.0000,0.0000,0.0000,-0.9078,0,S/D,S/D,0.0000 0.0000
5,[200.89.165.57],1,1313.5580,57.3640,5068.2878,3.1547,1, Argentina ,,-34.0000 -64.0000
6,[200.89.165.6],1,65.5321,45.1188,95.6099,-0.7051,0, Argentina ,,-34.0000 -64.0000
7,[200.89.165.150],1,66.3055,55.0551,86.7929,-0.7027,0, Argentina ,,-34.0000 -64.0000
8,[208.50.25.97],1,64.1338,52.5360,78.7828,-0.7094,0, United States ,,38.0000 -97.0000
9,[64.211.83.226],1,249.4221,235.6071,263.8330,-0.1364,0, United States ,,38.0000 -97.0000
10,[63.218.56.110],1,412.9375,403.6791,430.1729,0.3693,0, United States ,Miami,25.7743 -80.1937
11,[203.188.118.121],1,419.1623,403.1920,433.8830,0.3886,0, Hong Kong ,,22.2500 114.1667
12,[203.188.117.34],1,409.6593,403.4929,419.8201,0.3592,0, Hong Kong ,,22.2500 114.1667
13,[137.189.192.250],1,409.5233,402.4751,423.7440,0.3588,0, Hong Kong ,,22.2500 114.1667
14,[137.189.9.57],1,422.9235,405.0081,435.6279,0.4002,0, Hong Kong ,,22.2500 114.1667
15,[137.189.11.73],1,421.2769,407.4428,435.7481,0.3951,0, Hong Kong ,,22.2500 114.1667
