hop,ips,cant_ips,time,min_times,max_times,zrtt,distinguido,pais,ciudad,lat lng
1,[190.16.130.1],1,1032.7897,203.6228,3927.5360,3.7231,1, Argentina ,,-34.0000 -64.0000
2,[],0,0.0000,0.0000,0.0000,-0.8743,0,S/D,S/D,0.0000 0.0000
3,[],0,0.0000,0.0000,0.0000,-0.8743,0,S/D,S/D,0.0000 0.0000
4,[],0,0.0000,0.0000,0.0000,-0.8743,0,S/D,S/D,0.0000 0.0000
5,[200.89.165.9],1,57.3348,50.8409,96.6971,-0.6191,0, Argentina ,,-34.0000 -64.0000
6,[200.89.165.250],1,143.6028,135.6211,156.6191,-0.2351,0, Argentina ,,-34.0000 -64.0000
7,[64.209.94.97],1,75.0512,48.3088,100.2598,-0.5403,0, United States ,,38.0000 -97.0000
8,[67.16.139.26],1,194.1348,184.8099,205.1952,-0.0102,0, United States ,,38.0000 -97.0000
9,[4.68.111.121],1,185.5930,171.3820,199.6040,-0.0482,0, United States ,,38.0000 -97.0000
10,[4.69.138.123],1,229.4050,221.2501,235.5049,0.1468,0, United States ,,38.0000 -97.0000
11,[],0,0.0000,0.0000,0.0000,-0.8743,0,S/D,S/D,0.0000 0.0000
12,[4.69.134.21],1,241.6307,223.5730,263.5908,0.2013,0, United States ,,38.0000 -97.0000
13,[4.69.151.133],1,249.6215,219.8298,278.4441,0.2368,0, United States ,,38.0000 -97.0000
14,[],0,0.0000,0.0000,0.0000,-0.8743,0,S/D,S/D,0.0000 0.0000
15,[4.34.191.254],1,258.6947,248.9529,281.5461,0.2772,0, United States ,,38.0000 -97.0000
16,[184.168.0.73],1,276.6137,255.7290,319.5870,0.3570,0, United States ,Scottsdale,33.6119 -111.8906
17,[184.168.0.73],1,264.5700,247.5541,275.0499,0.3034,0, United States ,Scottsdale,33.6119 -111.8906
18,[97.74.255.129],1,256.0978,246.8641,260.5751,0.2657,0, United States ,Scottsdale,33.6119 -111.8906
19,[23.229.137.67],1,266.7692,242.9888,280.7429,0.3132,0, United States ,Scottsdale,33.6119 -111.8906
