hop,ips,cant_ips,time,min_times,max_times,zrtt,distinguido,pais,ciudad,lat lng
1,[190.16.130.1],1,132.0088,78.8291,283.5941,-0.4022,0, Argentina ,,-34.0000 -64.0000
2,[],0,0.0000,0.0000,0.0000,-1.2968,0,S/D,S/D,0.0000 0.0000
3,[],0,0.0000,0.0000,0.0000,-1.2968,0,S/D,S/D,0.0000 0.0000
4,[],0,0.0000,0.0000,0.0000,-1.2968,0,S/D,S/D,0.0000 0.0000
5,[200.89.165.229],1,62.7857,43.3860,83.5040,-0.8713,0, Argentina ,,-34.0000 -64.0000
6,[200.89.165.198],1,60.4981,43.6599,89.2911,-0.8868,0, Argentina ,,-34.0000 -64.0000
7,[200.89.165.86],1,82.0104,69.2298,116.0090,-0.7411,0, Argentina ,,-34.0000 -64.0000
8,[67.17.156.165],1,44.1718,40.8492,49.7601,-0.9975,0, United States ,,38.0000 -97.0000
9,[67.17.74.42],1,314.7565,298.0878,338.6719,0.8362,1, United States ,,38.0000 -97.0000
10,[146.82.54.2],1,309.6142,291.6260,357.8470,0.8013,1, United States ,Cypress,29.9878 -95.6550
11,[194.85.40.229],1,341.6355,331.9850,360.7919,1.0183,1, Russian Federation ,,60.0000 100.0000
12,[194.190.254.118],1,339.4217,323.6542,347.3198,1.0033,1, Russian Federation ,,60.0000 100.0000
13,[93.180.0.172],1,371.7632,327.5330,495.6861,1.2225,1, Russian Federation ,Moscow,55.7522 37.6156
14,[188.44.33.1],1,327.7678,311.6460,345.7510,0.9243,1, Russian Federation ,Moscow,55.7522 37.6156
15,[188.44.33.34],1,332.4513,318.3541,357.7490,0.9561,1, Russian Federation ,Moscow,55.7522 37.6156
16,[93.180.0.18],1,342.9893,327.8561,367.4610,1.0275,1, Russian Federation ,Moscow,55.7522 37.6156
