hop,ips,cant_ips,time,min_times,max_times,zrtt,distinguido,pais,ciudad,lat lng
1,[],0,0.0000,0.0000,0.0000,-0.8973,0,S/D,S/D,0.0000 0.0000
2,[],0,0.0000,0.0000,0.0000,-0.8973,0,S/D,S/D,0.0000 0.0000
3,[],0,0.0000,0.0000,0.0000,-0.8973,0,S/D,S/D,0.0000 0.0000
4,[],0,0.0000,0.0000,0.0000,-0.8973,0,S/D,S/D,0.0000 0.0000
5,[200.89.166.81],1,205.2189,198.3609,214.7338,-0.5242,0, Argentina ,,-34.0000 -64.0000
6,[200.89.165.86],1,201.3630,195.8029,207.4661,-0.5312,0, Argentina ,,-34.0000 -64.0000
7,[64.214.130.253],1,415.0767,407.6350,424.0260,-0.1427,0, United States ,,38.0000 -97.0000
8,[64.211.206.226],1,404.6497,287.8511,490.1760,-0.1616,0, United States ,,38.0000 -97.0000
9,[63.218.56.110],1,590.7693,511.7252,719.3739,0.1768,0, United States ,Miami,25.7743 -80.1937
10,[203.188.118.121],1,509.7650,498.8780,522.0361,0.0295,0, Hong Kong ,,22.2500 114.1667
11,[203.188.117.34],1,589.7263,495.8620,729.2190,0.1749,0, Hong Kong ,,22.2500 114.1667
12,[137.189.192.250],1,1658.5225,498.9359,5619.6771,2.1181,1, Hong Kong ,,22.2500 114.1667
13,[137.189.9.57],1,536.9408,496.7592,625.5212,0.0789,0, Hong Kong ,,22.2500 114.1667
14,[137.189.11.73],1,1797.5392,490.6120,5540.4780,2.3708,1, Hong Kong ,,22.2500 114.1667
