hop,ips,cant_ips,time,min_times,max_times,zrtt,distinguido,pais,ciudad,lat lng
1,[190.16.130.1],1,234.4214,38.6789,787.0770,0.7232,1, Argentina ,,-34.0000 -64.0000
2,[],0,0.0000,0.0000,0.0000,-1.4415,0,S/D,S/D,0.0000 0.0000
3,[],0,0.0000,0.0000,0.0000,-1.4415,0,S/D,S/D,0.0000 0.0000
4,[],0,0.0000,0.0000,0.0000,-1.4415,0,S/D,S/D,0.0000 0.0000
5,[200.89.165.9],1,56.4250,42.6390,70.5850,-0.9204,0, Argentina ,,-34.0000 -64.0000
6,[200.89.165.250],1,56.9417,43.5581,88.5150,-0.9157,0, Argentina ,,-34.0000 -64.0000
7,[64.209.94.97],1,54.6390,42.3000,64.2331,-0.9369,0, United States ,,38.0000 -97.0000
8,[67.16.139.26],1,255.6148,194.9041,387.8422,0.9189,1, United States ,,38.0000 -97.0000
9,[4.68.111.121],1,181.9103,171.5720,196.7680,0.2383,0, United States ,,38.0000 -97.0000
10,[4.69.138.123],1,214.4960,204.0849,223.0911,0.5392,1, United States ,,38.0000 -97.0000
11,[],0,0.0000,0.0000,0.0000,-1.4415,0,S/D,S/D,0.0000 0.0000
12,[4.69.134.21],1,214.0613,203.4800,225.9440,0.5352,1, United States ,,38.0000 -97.0000
13,[4.69.151.133],1,246.7338,216.2740,291.2881,0.8369,1, United States ,,38.0000 -97.0000
14,[4.69.146.2],1,114.5847,0.0000,250.6220,-0.3834,0, United States ,,38.0000 -97.0000
15,[4.34.191.254],1,261.9660,246.6450,275.6560,0.9775,1, United States ,,38.0000 -97.0000
16,[184.168.0.73],1,271.2983,258.6401,287.6182,1.0637,1, United States ,Scottsdale,33.6119 -111.8906
17,[184.168.0.73],1,275.6485,263.7420,291.6319,1.1039,1, United States ,Scottsdale,33.6119 -111.8906
18,[97.74.255.129],1,263.5783,248.2882,279.3970,0.9924,1, United States ,Scottsdale,33.6119 -111.8906
19,[23.229.137.67],1,263.6544,239.3799,295.5799,0.9931,1, United States ,Scottsdale,33.6119 -111.8906
