hop,ips,cant_ips,time,min_times,max_times,zrtt,distinguido,pais,ciudad,lat lng
1,[],0,0.0000,0.0000,0.0000,-1.3100,0,S/D,S/D,0.0000 0.0000
2,[],0,0.0000,0.0000,0.0000,-1.3100,0,S/D,S/D,0.0000 0.0000
3,[],0,0.0000,0.0000,0.0000,-1.3100,0,S/D,S/D,0.0000 0.0000
4,[],0,0.0000,0.0000,0.0000,-1.3100,0,S/D,S/D,0.0000 0.0000
5,[200.89.166.125],1,192.5147,147.2168,209.8761,-0.1356,0, Argentina ,,-34.0000 -64.0000
6,[200.89.165.1],1,95.0115,79.6010,110.2960,-0.7304,0, Argentina ,,-34.0000 -64.0000
7,[200.89.165.250],1,97.0068,66.6420,117.8491,-0.7182,0, Argentina ,,-34.0000 -64.0000
8,[208.178.195.205],1,388.8739,307.2150,430.5239,1.0623,1, United States ,Alexandria,38.8048 -77.0469
9,[67.16.148.102],1,353.6947,303.9081,400.2750,0.8477,1, United States ,,38.0000 -97.0000
10,[4.68.111.121],1,338.5627,283.5190,435.5559,0.7554,1, United States ,,38.0000 -97.0000
11,[4.69.138.123],1,303.7242,279.6218,316.2441,0.5428,1, United States ,,38.0000 -97.0000
12,[],0,0.0000,0.0000,0.0000,-1.3100,0,S/D,S/D,0.0000 0.0000
13,[4.69.134.21],1,332.0390,295.3970,423.1219,0.7156,1, United States ,,38.0000 -97.0000
14,[4.69.151.145],1,382.7915,311.7230,494.3180,1.0252,1, United States ,,38.0000 -97.0000
15,[],0,0.0000,0.0000,0.0000,-1.3100,0,S/D,S/D,0.0000 0.0000
16,[4.34.191.254],1,335.7203,283.9911,427.4991,0.7380,1, United States ,,38.0000 -97.0000
17,[184.168.0.69],1,307.2947,0.0000,473.5720,0.5646,1, United States ,Scottsdale,33.6119 -111.8906
18,[184.168.0.69],1,347.1292,277.9930,403.6841,0.8076,1, United States ,Scottsdale,33.6119 -111.8906
19,[97.74.255.129],1,409.8765,391.5529,431.9041,1.1904,1, United States ,Scottsdale,33.6119 -111.8906
20,[23.229.137.67],1,410.5642,406.8060,414.8149,1.1946,1, United States ,Scottsdale,33.6119 -111.8906
