hop,ips,cant_ips,time,min_times,max_times,zrtt,distinguido,pais,ciudad,lat lng
1,[190.16.130.1],1,129.6885,53.7741,333.9200,-0.4697,0, Argentina ,,-34.0000 -64.0000
2,[],0,0.0000,0.0000,0.0000,-1.2806,0,S/D,S/D,0.0000 0.0000
3,[],0,0.0000,0.0000,0.0000,-1.2806,0,S/D,S/D,0.0000 0.0000
4,[],0,0.0000,0.0000,0.0000,-1.2806,0,S/D,S/D,0.0000 0.0000
5,[200.89.165.229],1,94.7340,91.5642,97.1608,-0.6882,0, Argentina ,,-34.0000 -64.0000
6,[200.89.165.198],1,63.6977,47.1370,83.9970,-0.8823,0, Argentina ,,-34.0000 -64.0000
7,[200.89.165.86],1,57.2897,42.7969,74.9550,-0.9224,0, Argentina ,,-34.0000 -64.0000
8,[67.17.156.165],1,48.5328,49.0892,76.7071,-0.9771,0, United States ,,38.0000 -97.0000
9,[67.17.74.42],1,314.0423,295.0139,348.9091,0.6830,1, United States ,,38.0000 -97.0000
10,[146.82.54.2],1,401.8151,368.5532,419.6470,1.2318,1, United States ,Cypress,29.9878 -95.6550
11,[194.85.40.229],1,382.2214,370.3451,408.6142,1.1093,1, Russian Federation ,,60.0000 100.0000
12,[194.190.254.118],1,383.5485,367.6710,415.3781,1.1176,1, Russian Federation ,,60.0000 100.0000
13,[93.180.0.172],1,369.5217,335.1932,404.0880,1.0299,1, Russian Federation ,Moscow,55.7522 37.6156
14,[188.44.33.1],1,335.6463,323.2460,347.6369,0.8181,1, Russian Federation ,Moscow,55.7522 37.6156
15,[188.44.33.34],1,354.9350,344.8460,367.7909,0.9387,1, Russian Federation ,Moscow,55.7522 37.6156
16,[93.180.0.18],1,341.2613,331.5141,355.1760,0.8532,1, Russian Federation ,Moscow,55.7522 37.6156
