hop,ips,cant_ips,time,min_times,max_times,,distinguido,pais,ciudad,lat lng
1,[190.16.130.1],1,119.9948,650401,2609911,0.849559750207518,0, Argentina ,,-34.0000 -64.0000
5,[200.89.165.57],1,55.4582,437450,714998,-1.10490974385337,0, Argentina ,,-34.0000 -64.0000
6,[200.89.165.250],1,66.6420,431631,758429,-0.302915005407294,0, Argentina ,,-34.0000 -64.0000
7,[207.136.166.241],1,57.5682,464299,674920,-0.517473943468176,0, United States ,,38.0000 -97.0000
8,[67.16.129.202],1,335.9045,2567940,3975201,2.52663818452191,1, United States ,,38.0000 -97.0000
10,[63.218.56.110],1,431.2299,4161239,4412820,0.58827310881865,1, United States ,Miami,25.7743 -80.1937
11,[203.188.118.121],1,418.9698,4113550,4264030,-0.551221729205054,1, Hong Kong ,,22.2500 114.1667
12,[203.188.117.34],1,431.2396,4195471,4477701,-0.291412605975273,1, Hong Kong ,,22.2500 114.1667
13,[137.189.192.250],1,424.4352,4154470,4359279,-0.493437529774779,1, Hong Kong ,,22.2500 114.1667
14,[137.189.9.57],1,411.1665,4060302,4233940,-0.561904344368164,1, Hong Kong ,,22.2500 114.1667
15,[137.189.11.73],1,437.6190,4112351,4716580,-0.141196141495962,1, Hong Kong ,,22.2500 114.1667
