hop,ips,cant_ips,time,min_times,max_times,,distinguido,pais,ciudad,lat lng
1,[190.16.130.1],1,129.6885,537741,3339200,1.19009275317756,0, Argentina ,,-34.0000 -64.0000
5,[200.89.165.229],1,94.7340,915642,971608,-0.704193104921376,0, Argentina ,,-34.0000 -64.0000
6,[200.89.165.198],1,63.6977,471370,839970,-0.659112592241193,0, Argentina ,,-34.0000 -64.0000
7,[200.89.165.86],1,57.2897,427969,749550,-0.375753807482545,0, Argentina ,,-34.0000 -64.0000
8,[67.17.156.165],1,48.5328,490892,767071,-0.402778874154609,0, United States ,,38.0000 -97.0000
9,[67.17.74.42],1,314.0423,2950139,3489091,2.75276957231264,1, United States ,,38.0000 -97.0000
10,[146.82.54.2],1,401.8151,3685532,4196470,0.707835276441122,1, United States ,Cypress,29.9878 -95.6550
11,[194.85.40.229],1,382.2214,3703451,4086142,-0.527460743332445,1, Russian Federation ,,60.0000 100.0000
12,[194.190.254.118],1,383.5485,3676710,4153781,-0.286758280548627,1, Russian Federation ,,60.0000 100.0000
13,[93.180.0.172],1,369.5217,3351932,4040880,-0.463411254781757,1, Russian Federation ,Moscow,55.7522 37.6156
14,[188.44.33.1],1,335.6463,3232460,3476369,-0.691777612799181,1, Russian Federation ,Moscow,55.7522 37.6156
15,[188.44.33.34],1,354.9350,3448460,3677909,-0.0801026385302607,1, Russian Federation ,Moscow,55.7522 37.6156
16,[93.180.0.18],1,341.2613,3315141,3551760,-0.459348693139327,1, Russian Federation ,Moscow,55.7522 37.6156
