hop,ips,cant_ips,time,min_times,max_times,zrtt,distinguido,pais,ciudad,lat lng
1,[190.16.130.1],1,137.7220,59.0332,348.0179,-0.0511,0, Argentina ,,-34.0000 -64.0000
2,[],0,0.0000,0.0000,0.0000,-1.3941,0,S/D,S/D,0.0000 0.0000
3,[],0,0.0000,0.0000,0.0000,-1.3941,0,S/D,S/D,0.0000 0.0000
4,[],0,0.0000,0.0000,0.0000,-1.3941,0,S/D,S/D,0.0000 0.0000
5,[200.89.165.9],1,63.9315,41.7950,84.3699,-0.7707,0, Argentina ,,-34.0000 -64.0000
6,[200.89.165.250],1,51.6395,43.5240,59.0041,-0.8905,0, Argentina ,,-34.0000 -64.0000
7,[64.209.94.97],1,52.3935,40.8790,68.2139,-0.8832,0, United States ,,38.0000 -97.0000
8,[67.16.139.26],1,189.8047,171.0708,204.1130,0.4567,0, United States ,,38.0000 -97.0000
9,[4.68.111.121],1,187.3921,171.4830,216.7141,0.4332,0, United States ,,38.0000 -97.0000
10,[4.69.138.123],1,220.4592,209.1100,238.3289,0.7557,1, United States ,,38.0000 -97.0000
11,[],0,0.0000,0.0000,0.0000,-1.3941,0,S/D,S/D,0.0000 0.0000
12,[4.69.134.21],1,217.1906,204.4821,230.7420,0.7238,1, United States ,,38.0000 -97.0000
13,[4.69.151.133],1,215.1970,200.9211,226.3968,0.7043,1, United States ,,38.0000 -97.0000
14,[4.69.146.2],1,75.4865,0.0000,301.9459,-0.6580,0, United States ,,38.0000 -97.0000
15,[4.34.191.254],1,264.6635,243.8431,283.9441,1.1867,1, United States ,,38.0000 -97.0000
16,[184.168.0.73],1,259.3485,238.8890,287.2360,1.1349,1, United States ,Scottsdale,33.6119 -111.8906
17,[184.168.0.73],1,267.5918,246.9561,291.3001,1.2153,1, United States ,Scottsdale,33.6119 -111.8906
18,[97.74.255.129],1,257.9110,244.2551,279.0282,1.1209,1, United States ,Scottsdale,33.6119 -111.8906
19,[23.229.137.67],1,255.6200,237.4251,283.5979,1.0985,1, United States ,Scottsdale,33.6119 -111.8906
