hop,ips,cant_ips,time,min_times,max_times,zrtt,distinguido,pais,ciudad,lat lng
1,[10.16.128.1],1,129.1341,91.7251,193.4910,-1.3255,0,(Private Address),(Private Address),0.0000 0.0000
2,[181.47.254.105],1,116.9062,88.5179,147.6419,-1.4431,0,(Unknown Country?),(Unknown City?),0.0000 0.0000
3,[208.178.195.210],1,122.4813,95.7282,166.9109,-1.3895,0,UNITED STATES,(Unknown city),0.0000 0.0000
4,[208.178.195.209],1,90.6693,79.5181,99.7059,-1.6956,0,UNITED STATES,(Unknown city),0.0000 0.0000
5,[67.16.133.22],1,300.3335,290.3740,309.3159,0.3217,0,UNITED STATES,(Unknown city),0.0000 0.0000
6,[67.17.74.42],1,320.0498,305.8929,347.6410,0.5114,1,UNITED STATES,Warsaw,52.2333 21.0000
7,[146.82.54.2],1,293.0065,284.1530,298.8110,0.2512,0,UNITED STATES,(Unknown city),0.0000 0.0000
8,[194.85.40.133],1,359.3393,352.3901,376.1220,0.8894,1,RUSSIAN FEDERATION,(Unknown city),0.0000 0.0000
9,[194.190.254.118],1,332.3465,327.0938,340.0171,0.6297,1,RUSSIAN FEDERATION,(Unknown city),0.0000 0.0000
10,[93.180.0.174],1,340.5642,320.1180,387.5670,0.7088,1,RUSSIAN FEDERATION,Moscow,55.7500 37.6000
11,[188.44.33.41],1,345.5632,335.6159,363.6460,0.7569,1,(Unknown Country?),(Unknown City?),0.0000 0.0000
12,[188.44.33.22],1,340.0165,326.0579,352.2520,0.7035,1,(Unknown Country?),(Unknown City?),0.0000 0.0000
13,[93.180.0.18],1,379.2704,345.8118,429.9250,1.0812,1,RUSSIAN FEDERATION,Moscow,55.7500 37.6000
