hop,ips,cant_ips,time,min_times,max_times,zrtt,distinguido,pais,ciudad,lat lng
1,[10.16.128.1],1,64.8925,50.9529,100.8201,-1.4720,0,(Private Address),(Private Address),0.0000 0.0000
2,[181.47.254.105],1,63.3407,56.3800,71.4269,-1.4857,0,(Unknown Country?),(Unknown City?),0.0000 0.0000
3,[208.178.195.210],1,65.8041,56.8900,70.4150,-1.4640,0,UNITED STATES,(Unknown city),0.0000 0.0000
4,[208.178.195.209],1,55.0825,49.1619,67.3981,-1.5585,0,UNITED STATES,(Unknown city),0.0000 0.0000
5,[67.16.133.22],1,295.9225,286.2849,309.6719,0.5638,1,UNITED STATES,(Unknown city),0.0000 0.0000
6,[67.17.74.42],1,295.8115,286.6950,300.1292,0.5628,1,UNITED STATES,Warsaw,52.2333 21.0000
7,[146.82.54.2],1,288.0332,282.8550,294.5058,0.4943,0,UNITED STATES,(Unknown city),0.0000 0.0000
8,[194.85.40.133],1,313.9538,308.6669,320.8361,0.7227,1,RUSSIAN FEDERATION,(Unknown city),0.0000 0.0000
9,[194.190.254.118],1,310.5765,307.0970,317.9190,0.6929,1,RUSSIAN FEDERATION,(Unknown city),0.0000 0.0000
10,[93.180.0.174],1,313.2052,309.9730,317.4310,0.7161,1,RUSSIAN FEDERATION,Moscow,55.7500 37.6000
11,[188.44.33.41],1,314.1322,311.8010,317.3020,0.7243,1,(Unknown Country?),(Unknown City?),0.0000 0.0000
12,[188.44.33.22],1,322.7425,321.7840,323.7910,0.8001,1,(Unknown Country?),(Unknown City?),0.0000 0.0000
13,[93.180.0.18],1,311.7357,310.2610,314.1589,0.7032,1,RUSSIAN FEDERATION,Moscow,55.7500 37.6000
