hop,ips,cant_ips,time,min_times,max_times,,distinguido,pais,ciudad,lat lng
1,[10.16.128.1],1,76.6842,673759,835161,0.797809573151244,0,(Private Address),(Private Address),0.0000 0.0000
2,[181.47.254.105],1,89.6322,836849,957148,-0.197547111365473,0,(Unknown Country?),(Unknown City?),0.0000 0.0000
3,[208.178.195.210],1,99.5955,837100,1153920,-0.244158630349615,0,UNITED STATES,(Unknown city),0.0000 0.0000
4,[208.178.195.209],1,86.6125,674729,1078761,-0.602506838901834,0,UNITED STATES,(Unknown city),0.0000 0.0000
5,[67.16.133.22],1,308.5252,2838519,3507628,3.06581673795454,0,UNITED STATES,(Unknown city),0.0000 0.0000
6,[67.17.74.42],1,305.6035,2923141,3153760,-0.445381340206774,0,UNITED STATES,Warsaw,52.2333 21.0000
7,[146.82.54.2],1,303.3803,2986190,3065760,-0.43447299229562,0,UNITED STATES,(Unknown city),0.0000 0.0000
8,[194.85.40.133],1,326.8692,3166831,3347700,-0.0329317863881091,1,RUSSIAN FEDERATION,(Unknown city),0.0000 0.0000
9,[194.190.254.118],1,342.3903,3235910,3729761,-0.157363474987245,1,RUSSIAN FEDERATION,(Unknown city),0.0000 0.0000
10,[93.180.0.174],1,341.6123,3391681,3475561,-0.411903565808576,1,RUSSIAN FEDERATION,Moscow,55.7500 37.6000
11,[188.44.33.41],1,330.6605,3271101,3321381,-0.570785956615309,1,(Unknown Country?),(Unknown City?),0.0000 0.0000
12,[188.44.33.22],1,356.5297,3400409,3712740,0.00424092733117626,1,(Unknown Country?),(Unknown City?),0.0000 0.0000
13,[93.180.0.18],1,332.7693,3095870,3676491,-0.770815541518407,1,RUSSIAN FEDERATION,Moscow,55.7500 37.6000
