hop,ips,cant_ips,time,min_times,max_times,,distinguido,pais,ciudad,lat lng
1,[10.16.128.1],1,168.5087,594311,4520559,1.39577319020551,0,(Private Address),(Private Address),0.0000 0.0000
2,[181.47.254.105],1,84.2997,535541,1031809,-1.17957430582928,0,(Unknown Country?),(Unknown City?),0.0000 0.0000
3,[208.178.195.210],1,77.7059,726888,824311,-0.388628080162304,0,UNITED STATES,(Unknown city),0.0000 0.0000
4,[208.178.195.209],1,61.0970,414789,755241,-0.490688057391987,0,UNITED STATES,(Unknown city),0.0000 0.0000
5,[67.17.95.214],1,287.1826,2097690,3858120,1.98251691747291,0,UNITED STATES,(Unknown city),0.0000 0.0000
6,[64.211.206.226],1,208.7202,1950369,2258489,-1.12101294696635,0,UNITED STATES,Tukwila WA,47.4777 -122.2680
7,[63.218.56.110],1,363.6158,3556080,3755701,1.25704739854837,1,UNITED STATES,Miami FL,25.7757 -80.2108
8,[203.188.118.121],1,382.3383,3778651,3856750,-0.130639542699888,1,HONG KONG,(Unknown city),0.0000 0.0000
9,[203.188.117.34],1,366.8166,3584311,3770971,-0.479608826306515,1,HONG KONG,(Unknown city),0.0000 0.0000
10,[137.189.192.250],1,369.0020,3595970,3832662,-0.299162677710522,1,HONG KONG,Hong Kong,22.2500 114.1670
11,[137.189.9.57],1,365.0473,3553472,3813939,-0.361734041569893,1,HONG KONG,(Unknown city),0.0000 0.0000
12,[137.189.11.73],1,378.5052,3671012,3836510,-0.184289027590043,1,HONG KONG,(Unknown city),0.0000 0.0000
