hop,ips,cant_ips,time,min_times,max_times,zrtt,distinguido,pais,ciudad,lat lng
1,[10.16.128.1],1,101.7940,91.4710,115.1819,-0.7717,0,(Private Address),(Private Address),0.0000 0.0000
2,[181.47.254.105],1,96.6505,75.7699,127.5980,-0.8278,0,(Unknown Country?),(Unknown City?),0.0000 0.0000
3,[208.178.195.210],1,84.5850,67.4689,111.5620,-0.9594,0,UNITED STATES,(Unknown city),0.0000 0.0000
4,[208.178.195.209],1,88.5504,77.5602,101.5689,-0.9161,0,UNITED STATES,(Unknown city),0.0000 0.0000
5,[67.16.134.218],1,193.7663,178.9911,207.1519,0.2315,0,UNITED STATES,(Unknown city),0.0000 0.0000
6,[4.68.111.121],1,203.5769,186.2512,219.7201,0.3386,0,UNITED STATES,New York NY,40.6698 -73.9438
7,[4.69.138.123],1,233.4203,215.4262,254.1330,0.6641,1,UNITED STATES,(Unknown city),0.0000 0.0000
8,[],0,0.0000,0.0000,0.0000,-1.8821,0,S/D,S/D,0.0000 0.0000
9,[4.69.134.21],1,242.5195,215.6339,290.2291,0.7634,1,UNITED STATES,Washington DC,38.9050 -77.0162
10,[4.69.151.169],1,257.2690,243.4249,279.7639,0.9242,1,UNITED STATES,(Unknown city),0.0000 0.0000
11,[],0,0.0000,0.0000,0.0000,-1.8821,0,S/D,S/D,0.0000 0.0000
12,[4.34.191.254],1,268.2666,253.0961,292.3441,1.0442,1,UNITED STATES,(Unknown city),0.0000 0.0000
13,[184.168.0.73],1,265.6072,253.8700,296.8140,1.0152,1,(Unknown Country?),(Unknown City?),0.0000 0.0000
14,[184.168.0.73],1,235.6924,227.8519,247.3419,0.6889,1,(Unknown Country?),(Unknown City?),0.0000 0.0000
15,[97.74.255.129],1,241.2627,216.0640,258.6858,0.7496,1,UNITED STATES,Scottsdale AZ,33.6860 -111.8700
16,[23.229.137.67],1,247.6622,228.0879,258.4019,0.8194,1,(Unknown Country?),(Unknown City?),0.0000 0.0000
