hop,ips,cant_ips,time,min_times,max_times,zrtt,distinguido,pais,ciudad,lat lng
1,[10.16.128.1],1,120.4911,76.7431,246.9251,-1.1194,0,(Private Address),(Private Address),0.0000 0.0000
2,[181.47.254.105],1,104.6528,70.7099,159.6870,-1.2410,0,(Unknown Country?),(Unknown City?),0.0000 0.0000
3,[208.178.195.210],1,120.6880,67.7500,159.7481,-1.1179,0,UNITED STATES,(Unknown city),0.0000 0.0000
4,[208.178.195.209],1,89.4924,67.7650,111.3539,-1.3574,0,UNITED STATES,(Unknown city),0.0000 0.0000
5,[67.16.129.202],1,197.7468,179.1680,218.5671,-0.5261,0,UNITED STATES,(Unknown city),0.0000 0.0000
6,[64.211.206.226],1,211.1458,198.2131,235.6429,-0.4232,0,UNITED STATES,Tukwila WA,47.4777 -122.2680
7,[63.218.56.110],1,370.1437,355.1681,383.4629,0.7977,1,UNITED STATES,Miami FL,25.7757 -80.2108
8,[203.188.118.121],1,398.6400,365.1860,443.5179,1.0166,1,HONG KONG,(Unknown city),0.0000 0.0000
9,[203.188.117.34],1,413.9125,379.7882,442.1840,1.1338,1,HONG KONG,(Unknown city),0.0000 0.0000
10,[137.189.192.250],1,394.1081,378.0451,419.5392,0.9817,1,HONG KONG,Hong Kong,22.2500 114.1670
11,[137.189.9.57],1,374.5610,371.5260,380.0650,0.8316,1,HONG KONG,(Unknown city),0.0000 0.0000
12,[137.189.11.73],1,399.5603,387.7501,415.5381,1.0236,1,HONG KONG,(Unknown city),0.0000 0.0000
