hop,ips,cant_ips,time,min_times,max_times,zrtt,distinguido,pais,ciudad,lat lng
1,[10.16.128.1],1,141.1713,75.3899,278.6021,-0.6512,0,(Private Address),(Private Address),0.0000 0.0000
2,[181.47.254.105],1,67.7501,44.3511,105.3030,-1.4754,0,(Unknown Country?),(Unknown City?),0.0000 0.0000
3,[195.22.220.33],1,61.7762,44.5621,79.7298,-1.5425,0,ARGENTINA,(Unknown city),0.0000 0.0000
4,[195.22.220.32],1,71.5719,45.3680,97.6939,-1.4325,0,ARGENTINA,(Unknown city),0.0000 0.0000
5,[89.221.40.7],1,216.8105,208.4250,223.8081,0.1979,0,UNITED STATES,Ashburn, VA,39.0500 -77.4833
6,[216.66.30.213],1,230.4882,217.5879,245.4810,0.3514,0,UNITED STATES,(Unknown city),0.0000 0.0000
7,[184.105.213.198],1,241.6320,232.0759,252.0380,0.4765,0,UNITED STATES,San Jose, CA,37.3040 -121.8500
8,[184.105.223.178],1,245.6551,234.8230,251.3411,0.5217,1,(Unknown Country?),(Unknown City?),0.0000 0.0000
9,[184.105.80.14],1,255.7567,248.0409,271.6489,0.6351,1,(Unknown Country?),(Unknown City?),0.0000 0.0000
10,[184.105.223.214],1,274.4568,266.2871,283.6611,0.8450,1,(Unknown Country?),(Unknown City?),0.0000 0.0000
11,[184.105.223.218],1,285.6753,268.1761,304.3051,0.9709,1,(Unknown Country?),(Unknown City?),0.0000 0.0000
12,[184.105.148.150],1,259.3455,247.1251,267.5951,0.6754,1,(Unknown Country?),(Unknown City?),0.0000 0.0000
13,[207.23.240.85],1,260.0645,235.6160,275.7840,0.6834,1,CANADA,VANCOUVER, BC,49.2667 -123.1170
14,[137.82.123.138],1,263.5248,255.7631,267.6411,0.7223,1,CANADA,VANCOUVER, BC,49.2667 -123.1170
15,[137.82.123.65],1,248.7395,242.1341,264.2310,0.5563,1,CANADA,VANCOUVER, BC,49.2667 -123.1170
16,[],0,0.0000,0.0000,0.0000,-2.2359,0,S/D,S/D,0.0000 0.0000
17,[137.82.130.49],1,261.6762,251.6580,275.8160,0.7015,1,CANADA,VANCOUVER, BC,49.2667 -123.1170
