hop,ips,cant_ips,time,min_times,max_times,zrtt,distinguido,pais,ciudad,lat lng
1,[10.16.128.1],1,148.2107,79.2749,328.9359,-0.7496,0,(Private Address),(Private Address),0.0000 0.0000
2,[181.47.254.105],1,94.1212,77.2870,115.2341,-1.3550,0,(Unknown Country?),(Unknown City?),0.0000 0.0000
3,[195.22.220.33],1,94.9148,85.6640,112.4392,-1.3461,0,ARGENTINA,(Unknown city),0.0000 0.0000
4,[195.22.220.32],1,93.4436,71.4569,116.1909,-1.3625,0,ARGENTINA,(Unknown city),0.0000 0.0000
5,[89.221.40.7],1,232.5920,214.6821,259.4631,0.1947,0,UNITED STATES,Ashburn, VA,39.0500 -77.4833
6,[216.66.30.213],1,232.4354,218.7228,248.1339,0.1929,0,UNITED STATES,(Unknown city),0.0000 0.0000
7,[184.105.213.198],1,243.6979,236.1200,249.3658,0.3190,0,UNITED STATES,San Jose, CA,37.3040 -121.8500
8,[184.105.223.178],1,256.4995,247.6151,262.7931,0.4622,0,(Unknown Country?),(Unknown City?),0.0000 0.0000
9,[184.105.80.14],1,256.7445,240.2809,267.6361,0.4650,0,(Unknown Country?),(Unknown City?),0.0000 0.0000
10,[184.105.223.214],1,272.6407,251.5800,287.6880,0.6429,1,(Unknown Country?),(Unknown City?),0.0000 0.0000
11,[184.105.223.218],1,282.8155,270.4871,295.5270,0.7567,1,(Unknown Country?),(Unknown City?),0.0000 0.0000
12,[184.105.148.150],1,294.0345,286.8750,299.8190,0.8823,1,(Unknown Country?),(Unknown City?),0.0000 0.0000
13,[207.23.240.85],1,301.2937,293.9298,310.6699,0.9635,1,CANADA,VANCOUVER, BC,49.2667 -123.1170
14,[137.82.123.138],1,283.9180,270.5150,303.0329,0.7691,1,CANADA,VANCOUVER, BC,49.2667 -123.1170
15,[137.82.123.65],1,280.8645,264.5831,291.2610,0.7349,1,CANADA,VANCOUVER, BC,49.2667 -123.1170
16,[],0,0.0000,0.0000,0.0000,-2.4083,0,S/D,S/D,0.0000 0.0000
17,[137.82.130.49],1,290.1127,275.8250,303.7310,0.8384,1,CANADA,VANCOUVER, BC,49.2667 -123.1170
