hop,ips,cant_ips,time,min_times,max_times,zrtt,distinguido,pais,ciudad,lat lng
1,[10.16.128.1],1,114.7354,47.4188,220.5639,-0.9742,0,(Private Address),(Private Address),0.0000 0.0000
2,[181.47.254.105],1,59.0930,36.4280,96.9319,-1.3925,0,(Unknown Country?),(Unknown City?),0.0000 0.0000
3,[208.178.195.210],1,71.7493,47.4980,94.5961,-1.2974,0,UNITED STATES,(Unknown city),0.0000 0.0000
4,[208.178.195.209],1,55.3748,37.1790,62.2840,-1.4205,0,UNITED STATES,(Unknown city),0.0000 0.0000
5,[67.16.129.202],1,202.5717,191.9770,215.1949,-0.3139,0,UNITED STATES,(Unknown city),0.0000 0.0000
6,[64.211.206.226],1,215.7360,208.0300,227.6959,-0.2149,0,UNITED STATES,Tukwila, WA,47.4777 -122.2680
7,[63.218.56.110],1,362.6223,350.4989,379.6391,0.8894,1,UNITED STATES,Miami, FL,25.7757 -80.2108
8,[203.188.118.121],1,376.2100,365.7501,381.8800,0.9915,1,HONG KONG,(Unknown city),0.0000 0.0000
9,[203.188.117.34],1,358.0768,351.6650,366.9019,0.8552,1,HONG KONG,(Unknown city),0.0000 0.0000
10,[137.189.192.250],1,368.6082,363.5850,379.2310,0.9344,1,HONG KONG,Hong Kong,22.2500 114.1670
11,[137.189.9.57],1,371.5982,360.1599,379.5421,0.9568,1,HONG KONG,(Unknown city),0.0000 0.0000
12,[137.189.11.73],1,375.4820,371.7051,379.2300,0.9860,1,HONG KONG,(Unknown city),0.0000 0.0000
