hop,ips,cant_ips,time,min_times,max_times,zrtt,distinguido,pais,ciudad,lat lng
1,[190.16.130.1],1,123.4685,38.4459,315.4099,-0.5313,0, Argentina ,,-34.0000 -64.0000
2,[],0,0.0000,0.0000,0.0000,-1.3869,0,S/D,S/D,0.0000 0.0000
3,[],0,0.0000,0.0000,0.0000,-1.3869,0,S/D,S/D,0.0000 0.0000
4,[],0,0.0000,0.0000,0.0000,-1.3869,0,S/D,S/D,0.0000 0.0000
5,[200.89.165.229],1,53.9539,43.9119,60.6470,-1.0130,0, Argentina ,,-34.0000 -64.0000
6,[200.89.165.198],1,75.1457,52.9490,89.2200,-0.8662,0, Argentina ,,-34.0000 -64.0000
7,[200.89.165.86],1,52.3368,43.7729,65.2349,-1.0242,0, Argentina ,,-34.0000 -64.0000
8,[67.17.156.165],1,212.3586,169.7202,265.9042,0.0846,0, United States ,,38.0000 -97.0000
9,[67.17.74.42],1,322.4680,305.1600,337.5571,0.8475,1, United States ,,38.0000 -97.0000
10,[146.82.54.2],1,312.0043,287.5001,339.8070,0.7750,1, United States ,Cypress,29.9878 -95.6550
11,[194.85.40.229],1,343.7462,333.4489,351.6040,0.9950,1, Russian Federation ,,60.0000 100.0000
12,[194.190.254.118],1,353.1717,333.8430,367.6989,1.0603,1, Russian Federation ,,60.0000 100.0000
13,[93.180.0.172],1,340.8552,312.6190,356.3402,0.9749,1, Russian Federation ,Moscow,55.7522 37.6156
14,[188.44.33.1],1,326.8116,316.4940,335.5331,0.8776,1, Russian Federation ,Moscow,55.7522 37.6156
15,[188.44.33.34],1,344.1489,334.1119,360.9819,0.9977,1, Russian Federation ,Moscow,55.7522 37.6156
16,[93.180.0.18],1,341.9810,317.0860,379.5290,0.9827,1, Russian Federation ,Moscow,55.7522 37.6156
