hop,ips,cant_ips,time,min_times,max_times,zrtt,distinguido,pais,ciudad,lat lng
1,[192.168.0.1],1,22.9300,91.4731,244.1401,-1.5100,0, Argentina ,,-34.0000 -64.0000
2,[181.28.55.1],0,26.3100,0.0000,0.0000,-1.4600,0,S/D,S/D,0.0000 0.0000
3,[200.89.166.85],0,31.7700,0.0000,0.0000,-1.4100,0,S/D,S/D,0.0000 0.0000
4,[200.89.165.86],0,62.6500,0.0000,0.0000,-1.0300,0,S/D,S/D,0.0000 0.0000
5,[67.17.156.165],1,80.3700,53.5691,80.2441,-0.8100,0, Argentina ,,-34.0000 -64.0000
6,[67.16.143.22],1,206.8900,43.7880,64.6000,0.7200,0, Argentina ,,-34.0000 -64.0000
7,[208.49.181.70],1,230.1800,43.4971,74.1110,1.0000,0, Argentina ,,-34.0000 -64.0000
8,[184.105.222.2],1,225.8100,69.1578,223.7229,0.9400,0, United States ,,38.0000 -97.0000
9,[184.105.148.150],1,203.9500,243.3579,267.7078,0.6800,1, United States ,,38.0000 -97.0000
10,[207.23.240.85],1,212.9900,255.5871,275.5520,0.7900,1, United States ,,38.0000 -97.0000
11,[137.82.123.138],1,203.5400,243.8672,287.6360,0.6700,1, United States ,Fremont,37.5155 -121.8962
12,[137.82.123.65],1,205.9000,239.5942,285.1522,0.700,1, United States ,Fremont,37.5155 -121.8962
13,[137.82.130.49],1,205.8700,251.7490,303.5920,0.700,1, Canada ,Vancouver,49.2836 -123.1041
