hop,ips,cant_ips,time,min_times,max_times,zrtt,distinguido,pais,ciudad,lat lng
1,[190.16.130.1],1,101.4076,41.0452,269.0001,-0.3426,0, Argentina ,,-34.0000 -64.0000
2,[],0,0.0000,0.0000,0.0000,-1.2385,0,S/D,S/D,0.0000 0.0000
3,[],0,0.0000,0.0000,0.0000,-1.2385,0,S/D,S/D,0.0000 0.0000
4,[],0,0.0000,0.0000,0.0000,-1.2385,0,S/D,S/D,0.0000 0.0000
5,[200.89.164.209],1,57.7497,64.6830,87.5540,-0.7283,0, Argentina ,,-34.0000 -64.0000
6,[200.89.165.129],1,52.3853,46.4470,58.7950,-0.7757,0, Argentina ,,-34.0000 -64.0000
7,[200.89.165.150],1,57.3117,45.3680,71.2872,-0.7322,0, Argentina ,,-34.0000 -64.0000
8,[208.178.245.21],1,57.9157,40.8700,99.9451,-0.7268,0, United States ,,38.0000 -97.0000
9,[67.16.143.22],1,262.4768,244.1671,282.5530,1.0805,1, United States ,,38.0000 -97.0000
10,[208.49.181.70],1,260.8750,244.4870,275.2678,1.0664,1, United States ,,38.0000 -97.0000
11,[184.105.222.2],1,243.0735,231.5331,250.2310,0.9091,1, United States ,Fremont,37.5155 -121.8962
12,[184.105.148.150],1,261.3102,245.0409,279.8870,1.0702,1, United States ,Fremont,37.5155 -121.8962
13,[207.23.240.85],1,256.2798,242.6500,279.2511,1.0258,1, Canada ,Vancouver,49.2836 -123.1041
14,[137.82.123.138],1,260.8038,241.3850,268.9102,1.0658,1, Canada ,Vancouver,49.2765 -123.2177
15,[137.82.123.65],1,257.9525,236.0620,273.1068,1.0406,1, Canada ,Vancouver,49.2765 -123.2177
16,[],0,0.0000,0.0000,0.0000,-1.2385,0,S/D,S/D,0.0000 0.0000
17,[137.82.130.49],1,253.5163,240.5720,261.5561,1.0014,1, Canada ,Vancouver,49.2765 -123.2177
