hop,ips,cant_ips,time,min_times,max_times,zrtt,distinguido,pais,ciudad,lat lng
1,[192.168.1.1],1,283.1480,31.5299,993.2520,1.6397,1,Reserved,,0.0000 0.0000
2,[186.137.165.1],1,48.8268,38.9478,52.8691,-0.7752,0,Argentina,Buenos Aires,-34.5875 -58.6725
3,[],0,0.0000,0.0000,0.0000,-1.2784,0,S/D,S/D,0.0000 0.0000
4,[],0,0.0000,0.0000,0.0000,-1.2784,0,S/D,S/D,0.0000 0.0000
5,[],0,0.0000,0.0000,0.0000,-1.2784,0,S/D,S/D,0.0000 0.0000
6,[200.89.166.65],1,51.4275,39.5789,74.6520,-0.7484,0,Argentina,,-34.0000 -64.0000
7,[200.89.165.1],1,54.1992,43.9739,64.5921,-0.7199,0,Argentina,,-34.0000 -64.0000
8,[200.89.165.250],1,47.4246,44.5781,52.3632,-0.7897,0,Argentina,,-34.0000 -64.0000
9,[64.209.94.97],1,65.6812,41.8758,92.8841,-0.6015,0,United States,,38.0000 -97.0000
10,[67.16.139.26],1,172.4762,162.8749,187.1550,0.4991,0,United States,,38.0000 -97.0000
11,[4.68.111.121],1,165.0785,160.3780,169.1270,0.4229,0,United States,,38.0000 -97.0000
12,[4.69.138.123],1,206.1105,197.3929,220.3460,0.8457,1,United States,,38.0000 -97.0000
13,[],0,0.0000,0.0000,0.0000,-1.2784,0,S/D,S/D,0.0000 0.0000
14,[4.69.134.21],1,206.2355,190.6259,223.2070,0.8470,1,United States,,38.0000 -97.0000
15,[4.69.151.145],1,203.7112,197.1660,207.4220,0.8210,1,United States,,38.0000 -97.0000
16,[],0,0.0000,0.0000,0.0000,-1.2784,0,S/D,S/D,0.0000 0.0000
17,[4.34.191.254],1,222.5470,211.1509,233.0830,1.0151,1,United States,,38.0000 -97.0000
18,[184.168.0.73],1,220.4444,205.3459,246.1200,0.9935,1,United States,Scottsdale,33.6119 -111.8906
19,[184.168.0.73],1,233.0066,216.5921,259.8400,1.1229,1,United States,Scottsdale,33.6119 -111.8906
20,[97.74.255.129],1,217.2772,202.3299,240.4730,0.9608,1,United States,Scottsdale,33.6119 -111.8906
21,[23.229.137.67],1,207.4037,202.9159,212.5530,0.8591,1,United States,Scottsdale,33.6119 -111.8906
