hop,ips,cant_ips,time,min_times,max_times,zrtt,distinguido,pais,ciudad,lat lng
1,[192.168.1.1],1,74.5290,27.8358,178.4401,-0.6840,0,Reserved,,0.0000 0.0000
2,[186.137.165.1],1,1303.5438,38.4011,5065.8288,2.3871,1,Argentina,Buenos Aires,-34.5875 -58.6725
3,[],0,0.0000,0.0000,0.0000,-0.8702,0,S/D,S/D,0.0000 0.0000
4,[],0,0.0000,0.0000,0.0000,-0.8702,0,S/D,S/D,0.0000 0.0000
5,[],0,0.0000,0.0000,0.0000,-0.8702,0,S/D,S/D,0.0000 0.0000
6,[200.89.164.73],1,44.7332,40.7929,51.3501,-0.7585,0,Argentina,,-34.0000 -64.0000
7,[200.89.165.86],1,1303.8439,38.6891,5064.7211,2.3879,1,Argentina,,-34.0000 -64.0000
8,[208.178.245.21],1,206.7347,203.5799,208.2610,-0.3536,0,United States,,38.0000 -97.0000
9,[64.211.206.226],1,190.0105,183.1770,208.2229,-0.3954,0,United States,,38.0000 -97.0000
10,[63.218.56.110],1,356.4832,347.4770,379.5538,0.0206,0,United States,Miami,25.7743 -80.1937
11,[203.188.118.121],1,340.4340,335.7470,347.7008,-0.0195,0,Hong Kong,,22.2500 114.1667
12,[203.188.117.34],1,357.2840,354.8949,361.0420,0.0226,0,Hong Kong,,22.2500 114.1667
13,[137.189.192.250],1,341.1509,335.3219,343.7819,-0.0177,0,Hong Kong,,22.2500 114.1667
14,[137.189.9.57],1,342.7495,339.8879,350.9891,-0.0138,0,Hong Kong,,22.2500 114.1667
15,[137.189.11.73],1,362.2858,346.1659,393.2931,0.0351,0,Hong Kong,,22.2500 114.1667
