hop,ips,cant_ips,time,min_times,max_times,zrtt,distinguido,pais,ciudad,lat lng
1,[192.168.1.1],1,85.4377,31.8210,230.1700,-0.3951,0,Reserved,,0.0000 0.0000
2,[186.137.165.1],1,53.5027,42.4609,67.9870,-0.7118,0,Argentina,Buenos Aires,-34.5875 -58.6725
3,[],0,0.0000,0.0000,0.0000,-1.2424,0,S/D,S/D,0.0000 0.0000
4,[],0,0.0000,0.0000,0.0000,-1.2424,0,S/D,S/D,0.0000 0.0000
5,[],0,0.0000,0.0000,0.0000,-1.2424,0,S/D,S/D,0.0000 0.0000
6,[200.89.166.101],1,57.2135,42.9020,98.6531,-0.6750,0,Argentina,,-34.0000 -64.0000
7,[200.89.165.86],1,58.4638,40.9410,72.2170,-0.6626,0,Argentina,,-34.0000 -64.0000
8,[67.17.156.165],1,43.3902,34.4448,61.0220,-0.8121,0,United States,,38.0000 -97.0000
9,[67.16.143.22],1,228.0558,206.9170,257.8971,1.0192,1,United States,,38.0000 -97.0000
10,[208.49.181.70],1,260.8045,242.8730,281.2409,1.3440,1,United States,,38.0000 -97.0000
11,[184.105.222.2],1,236.8105,230.0651,244.7259,1.1061,1,United States,Fremont,37.5155 -121.8962
12,[184.105.148.150],1,216.1040,212.2040,223.5820,0.9007,1,United States,Fremont,37.5155 -121.8962
13,[207.23.240.85],1,221.3922,215.3840,231.7710,0.9532,1,Canada,Vancouver,49.2836 -123.1041
14,[137.82.123.138],1,223.9637,215.6620,233.7930,0.9787,1,Canada,Vancouver,49.2765 -123.2177
15,[137.82.123.65],1,214.9687,207.6862,229.1079,0.8894,1,Canada,Vancouver,49.2765 -123.2177
16,[],0,0.0000,0.0000,0.0000,-1.2424,0,S/D,S/D,0.0000 0.0000
17,[137.82.130.49],1,229.6536,213.1610,263.8171,1.0351,1,Canada,Vancouver,49.2765 -123.2177
