hop,ips,cant_ips,time,min_times,max_times,zrtt,distinguido,pais,ciudad,lat lng
1,[192.168.1.1],1,94.9679,31.8558,277.2269,-0.5861,0,Reserved,,0.0000 0.0000
2,[186.137.165.1],1,44.7896,40.0660,52.4352,-0.9578,0,Argentina,Buenos Aires,-34.5875 -58.6725
3,[],0,0.0000,0.0000,0.0000,-1.2896,0,S/D,S/D,0.0000 0.0000
4,[],0,0.0000,0.0000,0.0000,-1.2896,0,S/D,S/D,0.0000 0.0000
5,[],0,0.0000,0.0000,0.0000,-1.2896,0,S/D,S/D,0.0000 0.0000
6,[200.89.164.65],1,71.3944,46.8991,83.8649,-0.7607,0,Argentina,,-34.0000 -64.0000
7,[200.89.165.86],1,78.1815,67.1630,101.5031,-0.7104,0,Argentina,,-34.0000 -64.0000
8,[64.214.130.253],1,46.1854,36.1629,62.1960,-0.9474,0,United States,,38.0000 -97.0000
9,[67.17.74.42],1,278.8136,270.4911,298.5132,0.7758,1,United States,,38.0000 -97.0000
10,[146.82.54.2],1,285.3734,271.7750,308.5349,0.8244,1,United States,Cypress,29.9878 -95.6550
11,[194.85.40.229],1,324.5735,300.1590,349.6799,1.1148,1,Russian Federation,,60.0000 100.0000
12,[194.190.254.118],1,302.2037,291.6808,316.4890,0.9491,1,Russian Federation,,60.0000 100.0000
13,[93.180.0.172],1,310.1515,303.7679,314.5401,1.0079,1,Russian Federation,Moscow,55.7522 37.6156
14,[188.44.33.41],1,314.1789,299.5131,325.5088,1.0378,1,Russian Federation,Moscow,55.7522 37.6156
15,[188.44.33.22],1,320.6108,311.3210,330.7111,1.0854,1,Russian Federation,Moscow,55.7522 37.6156
16,[93.180.0.18],1,313.9440,304.0528,327.9390,1.0360,1,Russian Federation,Moscow,55.7522 37.6156
