hop,ips,cant_ips,time,min_times,max_times,zrtt,distinguido,pais,ciudad,lat lng
1,[192.168.1.1],1,112.3078,36.5009,301.5440,-0.4730,0,Reserved,,0.0000 0.0000
2,[186.137.165.1],1,58.6985,51.6050,66.0381,-0.8712,0,Argentina,Buenos Aires,-34.5875 -58.6725
3,[],0,0.0000,0.0000,0.0000,-1.3073,0,S/D,S/D,0.0000 0.0000
4,[],0,0.0000,0.0000,0.0000,-1.3073,0,S/D,S/D,0.0000 0.0000
5,[],0,0.0000,0.0000,0.0000,-1.3073,0,S/D,S/D,0.0000 0.0000
6,[200.89.164.65],1,67.2730,55.6500,76.7162,-0.8075,0,Argentina,,-34.0000 -64.0000
7,[200.89.165.86],1,61.5232,42.0380,77.6110,-0.8502,0,Argentina,,-34.0000 -64.0000
8,[64.214.130.253],1,56.6249,50.9079,111.2800,-0.8866,0,United States,,38.0000 -97.0000
9,[67.17.74.42],1,297.7703,276.3510,322.1481,0.9047,1,United States,,38.0000 -97.0000
10,[146.82.54.2],1,275.2320,270.1359,284.4510,0.7373,1,United States,Cypress,29.9878 -95.6550
11,[194.85.40.229],1,309.3569,303.4060,323.9141,0.9908,1,Russian Federation,,60.0000 100.0000
12,[194.190.254.118],1,307.8073,291.5621,326.9360,0.9793,1,Russian Federation,,60.0000 100.0000
13,[93.180.0.172],1,324.1020,305.8381,343.3630,1.1003,1,Russian Federation,Moscow,55.7522 37.6156
14,[188.44.33.41],1,306.2080,294.7619,331.7728,0.9674,1,Russian Federation,Moscow,55.7522 37.6156
15,[188.44.33.22],1,328.9231,310.3230,351.1891,1.1362,1,Russian Federation,Moscow,55.7522 37.6156
16,[93.180.0.18],1,309.8322,301.5709,316.4201,0.9943,1,Russian Federation,Moscow,55.7522 37.6156
