hop,ips,cant_ips,time,min_times,max_times,,distinguido,pais,ciudad,lat lng
1,[192.168.1.1],1,961.469,465839,2203341,1.55167413677465,0,Reserved,,0.0000 0.0000
2,[186.137.165.1],1,626.536,469229,894902,-0.952938029645884,0,Argentina,Buenos Aires,-34.5875 -58.6725
6,[200.89.166.101],1,777.110,484860,1092851,-0.0149521741147041,0,Argentina,,-34.0000 -64.0000
7,[200.89.165.197],1,608.055,557930,668018,-0.632466403605886,0,Argentina,,-34.0000 -64.0000
8,[200.89.165.222],1,519.075,478289,596220,-0.477763757955753,0,Argentina,,-34.0000 -64.0000
9,[64.209.94.97],1,676.175,498090,830832,-0.00234412584105088,0,United States,,38.0000 -97.0000
10,[67.16.166.65],1,2.269.700,1988640,2545381,2.77278853451477,1,United States,,38.0000 -97.0000
11,[67.17.75.58],1,2.265.188,2027800,2548430,-0.314573959981661,1,United States,,38.0000 -97.0000
12,[208.49.181.70],1,2.667.820,2596390,2720339,0.472016785701484,1,United States,,38.0000 -97.0000
13,[184.105.222.2],1,2.647.215,2427959,2767389,-0.345665182915755,1,United States,Fremont,37.5155 -121.8962
14,[184.105.148.150],1,2.139.853,2027290,2444921,-1.28606600325571,1,United States,Fremont,37.5155 -121.8962
15,[207.23.240.85],1,2.175.662,2106340,2277508,-0.236674923137964,1,Canada,Vancouver,49.2836 -123.1041
16,[137.82.123.138],1,2.327.587,2124979,2588420,-0.01234208014938,1,Canada,Vancouver,49.2765 -123.2177
17,[137.82.123.65],1,2.247.348,2157240,2398651,-0.46087639204095,1,Canada,Vancouver,49.2765 -123.2177
19,[137.82.130.49],1,2.374.700,2172050,2546709,-0.0598164243462046,1,Canada,Vancouver,49.2765 -123.2177
