hop,ips,cant_ips,time,min_times,max_times,zrtt,distinguido,pais,ciudad,lat lng
1,[192.168.1.1],1,96.1250,31.2409,273.5510,-0.5558,0,Reserved,,0.0000 0.0000
2,[186.137.165.1],1,42.9831,36.9780,53.0221,-0.9252,0,Argentina,Buenos Aires,-34.5875 -58.6725
3,[],0,0.0000,0.0000,0.0000,-1.2241,0,S/D,S/D,0.0000 0.0000
4,[],0,0.0000,0.0000,0.0000,-1.2241,0,S/D,S/D,0.0000 0.0000
5,[],0,0.0000,0.0000,0.0000,-1.2241,0,S/D,S/D,0.0000 0.0000
6,[200.89.164.65],1,54.7837,43.3521,76.4029,-0.8432,0,Argentina,,-34.0000 -64.0000
7,[200.89.165.86],1,50.9175,40.0140,63.7171,-0.8701,0,Argentina,,-34.0000 -64.0000
8,[64.214.130.253],1,43.0628,39.9370,49.2580,-0.9247,0,United States,,38.0000 -97.0000
9,[67.17.74.42],1,290.8923,276.4740,299.6690,0.7982,1,United States,,38.0000 -97.0000
10,[146.82.54.2],1,402.5195,380.1160,421.0939,1.5743,1,United States,Cypress,29.9878 -95.6550
11,[194.85.40.229],1,314.7678,300.2610,334.2609,0.9642,1,Russian Federation,,60.0000 100.0000
12,[194.190.254.118],1,301.8767,299.9871,304.0979,0.8746,1,Russian Federation,,60.0000 100.0000
13,[93.180.0.172],1,310.1169,296.8969,318.3279,0.9319,1,Russian Federation,Moscow,55.7522 37.6156
14,[188.44.33.41],1,305.1335,295.7678,313.4680,0.8972,1,Russian Federation,Moscow,55.7522 37.6156
15,[188.44.33.22],1,299.2750,294.1759,303.5541,0.8565,1,Russian Federation,Moscow,55.7522 37.6156
16,[93.180.0.18],1,304.7072,296.1700,311.5301,0.8943,1,Russian Federation,Moscow,55.7522 37.6156
