hop,ips,cant_ips,time,min_times,max_times,zrtt,distinguido,pais,ciudad,lat lng
1,[192.168.1.1],1,69.2725,30.6301,178.2310,-0.6656,0,Reserved,,0.0000 0.0000
2,[186.137.165.1],1,48.7833,35.3620,59.8991,-0.7985,0,Argentina,Buenos Aires,-34.5875 -58.6725
3,[],0,0.0000,0.0000,0.0000,-1.1148,0,S/D,S/D,0.0000 0.0000
4,[],0,0.0000,0.0000,0.0000,-1.1148,0,S/D,S/D,0.0000 0.0000
5,[],0,0.0000,0.0000,0.0000,-1.1148,0,S/D,S/D,0.0000 0.0000
6,[200.89.164.73],1,58.3365,40.0879,83.3719,-0.7365,0,Argentina,,-34.0000 -64.0000
7,[200.89.165.86],1,44.9248,36.1981,60.0851,-0.8235,0,Argentina,,-34.0000 -64.0000
8,[208.178.245.21],1,43.9125,38.6839,46.9792,-0.8301,0,United States,,38.0000 -97.0000
9,[64.211.206.226],1,197.2235,183.3329,214.9851,0.1641,0,United States,,38.0000 -97.0000
10,[63.218.56.110],1,350.8323,343.1380,356.7691,1.1602,1,United States,Miami,25.7743 -80.1937
11,[203.188.118.121],1,345.3037,336.0980,355.2599,1.1243,1,Hong Kong,,22.2500 114.1667
12,[203.188.117.34],1,354.7777,350.6289,357.7220,1.1858,1,Hong Kong,,22.2500 114.1667
13,[137.189.192.250],1,356.7755,335.8490,393.8510,1.1987,1,Hong Kong,,22.2500 114.1667
14,[137.189.9.57],1,359.9063,351.6872,374.3129,1.2190,1,Hong Kong,,22.2500 114.1667
15,[137.189.11.73],1,348.7497,341.6328,359.2920,1.1467,1,Hong Kong,,22.2500 114.1667
