hop	ips	cant_ips	time	min_times	max_times	zrtt	distinguido	pais	ciudad	lat	lng
1	[190.16.130.1]	1	203.2833	127.6290	354.1691	-0.5593	0	S/D	S/D	0.0000	0.0000
2	[?]	1	0.0000	0.0000	0.0000	-1.0332	0	S/D	S/D	0.0000	0.0000
3	[?]	1	0.0000	0.0000	0.0000	-1.0332	0	S/D	S/D	0.0000	0.0000
4	[?]	1	0.0000	0.0000	0.0000	-1.0332	0	S/D	S/D	0.0000	0.0000
5	[200.89.164.209]	1	332.6620	266.7649	396.3051	-0.2577	0	S/D	S/D	0.0000	0.0000
6	[200.89.165.129]	1	324.7958	263.2940	392.4921	-0.2760	0	S/D	S/D	0.0000	0.0000
7	[200.89.165.150]	1	342.9251	295.2158	384.5251	-0.2338	0	S/D	S/D	0.0000	0.0000
8	[208.178.245.21]	1	301.8228	223.7949	391.9189	-0.3296	0	S/D	S/D	0.0000	0.0000
9	[67.16.143.22]	1	491.8500	436.2979	547.3721	0.1134	0	S/D	S/D	0.0000	0.0000
10	[208.49.181.70]	1	515.6866	459.2199	580.2438	0.1689	0	S/D	S/D	0.0000	0.0000
11	[184.105.222.2]	1	1866.7051	451.8330	5821.7001	3.3182	1	S/D	S/D	0.0000	0.0000
12	[184.105.148.150]	1	562.8497	459.3658	732.4970	0.2789	0	S/D	S/D	0.0000	0.0000
13	[207.23.240.85]	1	664.8670	584.1980	719.6610	0.5167	1	S/D	S/D	0.0000	0.0000
14	[137.82.123.138]	1	670.7666	571.9712	783.4342	0.5304	1	S/D	S/D	0.0000	0.0000
15	[137.82.123.65]	1	703.7452	615.9680	804.1308	0.6073	1	S/D	S/D	0.0000	0.0000
16	[?]	1	0.0000	0.0000	0.0000	-1.0332	0	S/D	S/D	0.0000	0.0000
17	[137.82.130.49]	1	552.7877	522.3179	570.7228	0.2554	0	S/D	S/D	0.0000	0.0000
