hop	ips	cant_ips	time	min_times	max_times	zrtt	distinguido	pais	ciudad	lat	lng
1	[10.1.200.254]	1	82.0200	82.0200	82.0200	-0.6336	0	Reserved		0.0000	0.0000
2	[157.92.18.99]	1	22.1500	22.1500	22.1500	-1.1757	0	Argentina	Buenos Aires	-34.5875	-58.6725
3	[157.92.47.98]	1	35.5730	35.5730	35.5730	-1.0541	0	Argentina	Buenos Aires	-34.5875	-58.6725
4	[157.92.47.2]	1	33.2308	33.2308	33.2308	-1.0753	0	Argentina	Buenos Aires	-34.5875	-58.6725
5	[]	0	0.0000	0.0000	0.0000	-1.3762	0	S/D	S/D	0.0000	0.0000
6	[168.96.0.18]	1	55.9192	55.9192	55.9192	-0.8699	0	Argentina	Buenos Aires	-34.5875	-58.6725
7	[200.0.204.154]	1	30.6430	30.6430	30.6430	-1.0988	0	Uruguay		-33.0000	-56.0000
8	[200.0.204.88]	1	46.6750	46.6750	46.6750	-0.9536	0	Uruguay		-33.0000	-56.0000
9	[200.0.204.58]	1	173.8200	173.8200	173.8200	0.1975	0	Uruguay		-33.0000	-56.0000
10	[200.0.207.6]	1	210.8662	210.8662	210.8662	0.5329	1	Uruguay		-33.0000	-56.0000
11	[205.189.32.180]	1	235.7409	235.7409	235.7409	0.7581	1	Canada		60.0000	-95.0000
12	[205.189.32.178]	1	239.6181	239.6181	239.6181	0.7932	1	Canada		60.0000	-95.0000
13	[205.189.32.182]	1	255.3129	255.3129	255.3129	0.9352	1	Canada		60.0000	-95.0000
14	[205.189.32.174]	1	275.6069	275.6069	275.6069	1.1190	1	Canada		60.0000	-95.0000
15	[205.189.32.173]	1	255.9719	255.9719	255.9719	0.9412	1	Canada		60.0000	-95.0000
16	[134.87.2.233]	1	259.7990	259.7990	259.7990	0.9759	1	Canada	Vancouver	49.2836	-123.1041
17	[137.82.123.138]	1	266.0420	266.0420	266.0420	1.0324	1	Canada	Vancouver	49.2765	-123.2177
18	[137.82.123.65]	1	269.5911	269.5911	269.5911	1.0645	1	Canada	Vancouver	49.2765	-123.2177
19	[]	0	0.0000	0.0000	0.0000	-1.3762	0	S/D	S/D	0.0000	0.0000
20	[137.82.130.49]	1	291.5919	291.5919	291.5919	1.2637	1	Canada	Vancouver	49.2765	-123.2177
