hop	ips	cant_ips	time	min_times	max_times	zrtt	distinguido	pais	ciudad	lat	lng
1	[10.1.200.254]	1	158.2240	31.8711	295.6381	-0.3175	0	(Private Address)	(Private Address)	0.0000	0.0000
2	[157.92.18.99]	1	34.0891	12.8019	63.1299	-1.1323	0	ARGENTINA	(Unknown city)	0.0000	0.0000
3	[157.92.47.98]	1	34.1661	22.4609	43.7710	-1.1318	0	ARGENTINA	Buenos Aires	-34.5833	-58.3667
4	[157.92.47.2]	1	72.5575	16.6371	167.4321	-0.8798	0	ARGENTINA	Buenos Aires	-34.5833	-58.3667
5	[]	0	0.0000	0.0000	0.0000	-1.3561	0	S/D	S/D	0.0000	0.0000
6	[168.96.0.18]	1	32.5376	19.9130	43.7169	-1.1425	0	ARGENTINA	Buenos Aires	-34.5833	-58.3667
7	[200.0.204.154]	1	101.7641	21.0001	352.7799	-0.6881	0	URUGUAY	Montevideo	-34.8833	-56.1833
8	[200.0.204.88]	1	69.2234	49.9432	102.3440	-0.9017	0	URUGUAY	Montevideo	-34.8833	-56.1833
9	[200.0.204.58]	1	164.3746	148.5569	210.8350	-0.2772	0	URUGUAY	Montevideo	-34.8833	-56.1833
10	[200.0.207.10]	1	182.2040	168.6659	198.2141	-0.1601	0	URUGUAY	Montevideo	-34.8833	-56.1833
11	[198.71.45.13]	1	227.3013	191.9432	294.4100	0.1359	0	(Unknown Country?)	(Unknown City?)	0.0000	0.0000
12	[198.71.45.21]	1	298.9984	248.7628	363.3661	0.6065	1	(Unknown Country?)	(Unknown City?)	0.0000	0.0000
13	[207.231.240.136]	1	260.9936	227.2830	355.0372	0.3570	0	UNITED STATES	Los Angeles, CA	34.1121	-118.4110
14	[192.203.116.146]	1	405.2064	342.2761	563.8528	1.3036	1	UNITED STATES	(Unknown city)	0.0000	0.0000
15	[202.40.161.50]	1	411.3129	387.3780	440.1021	1.3437	1	HONG KONG	Sha Tin	22.3833	114.1830
16	[137.189.192.250]	1	436.2873	384.5880	569.5410	1.5076	1	HONG KONG	Hong Kong	22.2500	114.1670
17	[137.189.9.57]	1	420.2577	382.9691	483.7260	1.4024	1	HONG KONG	(Unknown city)	0.0000	0.0000
18	[137.189.11.73]	1	409.3258	393.2331	433.8861	1.3306	1	HONG KONG	(Unknown city)	0.0000	0.0000
