hop	ips	cant_ips	time	min_times	max_times	zrtt	distinguido	pais	ciudad	lat	lng
1	[10.1.200.254]	1	32.5119	32.5119	32.5119	-0.9905	0	(Private Address)	(Private Address)	0.0000	0.0000
2	[157.92.18.99]	1	28.2569	28.2569	28.2569	-1.0273	0	ARGENTINA	(Unknown city)	0.0000	0.0000
3	[157.92.47.98]	1	12.9869	12.9869	12.9869	-1.1591	0	ARGENTINA	Buenos Aires	-34.5833	-58.3667
4	[157.92.47.2]	1	22.6171	22.6171	22.6171	-1.0760	0	ARGENTINA	Buenos Aires	-34.5833	-58.3667
5	[]	0	0.0000	0.0000	0.0000	-1.2712	0	S/D	S/D	0.0000	0.0000
6	[168.96.0.18]	1	43.5619	43.5619	43.5619	-0.8951	0	ARGENTINA	Buenos Aires	-34.5833	-58.3667
7	[200.0.204.154]	1	27.9732	27.9732	27.9732	-1.0297	0	URUGUAY	Montevideo	-34.8833	-56.1833
8	[200.0.204.88]	1	49.6159	49.6159	49.6159	-0.8428	0	URUGUAY	Montevideo	-34.8833	-56.1833
9	[200.0.204.58]	1	159.4200	159.4200	159.4200	0.1052	0	URUGUAY	Montevideo	-34.8833	-56.1833
10	[200.0.207.6]	1	202.3511	202.3511	202.3511	0.4759	0	URUGUAY	Montevideo	-34.8833	-56.1833
11	[205.189.32.180]	1	234.4820	234.4820	234.4820	0.7533	1	CANADA	(Unknown city)	0.0000	0.0000
12	[205.189.32.178]	1	233.3312	233.3312	233.3312	0.7434	1	CANADA	(Unknown city)	0.0000	0.0000
13	[205.189.32.182]	1	251.8640	251.8640	251.8640	0.9034	1	CANADA	(Unknown city)	0.0000	0.0000
14	[205.189.32.174]	1	261.7450	261.7450	261.7450	0.9887	1	CANADA	(Unknown city)	0.0000	0.0000
15	[205.189.32.173]	1	262.1751	262.1751	262.1751	0.9924	1	CANADA	(Unknown city)	0.0000	0.0000
16	[134.87.2.233]	1	263.5870	263.5870	263.5870	1.0046	1	CANADA	(Unknown city)	0.0000	0.0000
17	[137.82.123.138]	1	328.2919	328.2919	328.2919	1.5633	1	CANADA	VANCOUVER, BC	49.2667	-123.1170
18	[137.82.123.65]	1	260.6010	260.6010	260.6010	0.9789	1	CANADA	VANCOUVER, BC	49.2667	-123.1170
19	[]	0	0.0000	0.0000	0.0000	-1.2712	0	S/D	S/D	0.0000	0.0000
20	[137.82.130.49]	1	269.2750	269.2750	269.2750	1.0538	1	CANADA	VANCOUVER, BC	49.2667	-123.1170
